"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",8,0,11,18,2,43,3079,0.02,0.00,15,24,33,33,43,43,43,43,43,43,43,43
"POST","/",8,0,200,206,169,265,2524,0.02,0.00,200,210,240,240,270,270,270,270,270,270,270,270
"GET","/analysis.html",2,0,19,28,19,37,52059,0.00,0.00,37,37,37,37,37,37,37,37,37,37,37,37
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",2,0,16333,21614,16333,26896,6914762,0.00,0.00,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
"GET","/compare.html",2,0,23,42,23,61,108023,0.00,0.00,61,61,61,61,61,61,61,61,61,61,61,61
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",2,0,5800,17925,5792,30058,14042800,0.00,0.00,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
"GET","/measure.html",5,0,40,35,16,58,46273,0.01,0.00,40,42,42,58,58,58,58,58,58,58,58,58
"POST","/measureResults.html",5,0,25000,16517,2282,27153,2102294,0.01,0.00,25000,26000,26000,27000,27000,27000,27000,27000,27000,27000,27000,27000
"GET","/movers.html",2,0,51,52,51,53,3745,0.00,0.00,53,53,53,53,53,53,53,53,53,53,53,53
"POST","/moversResult.html",2,0,20000,19987,19572,20402,16015,0.00,0.00,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
"None","Aggregated",38,0,61,5364,2,30058,1396380,0.07,0.00,170,240,2300,16000,26000,27000,30000,30000,30000,30000,30000,30000
